"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow";"Unit";"Process";"Driver_type"
"80";"10.1034/j.1600-0587.2003.03355.x";11;"Stream meanders increase insectivorous bird abundance in riparian deciduous forests";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.010575;"gN.m-2.y-1";"Life-cycle";"Active"
"81";"10.1034/j.1600-0587.2003.03355.x";11;"Stream meanders increase insectivorous bird abundance in riparian deciduous forests";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.000825;"gP.m-2.y-1";"Life-cycle";"Active"
"82";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";206.3;"gC.m-2.y-1";"Fall/wind";"Passive"
"83";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";104.7;"gC.m-2.y-1";"Fall/wind";"Passive"
"84";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";2.8;"gC.m-2.y-1";"Fall/wind";"Passive"
"85";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";197;"gC.m-2.y-1";"Fall/wind";"Passive"
"86";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";184.4;"gC.m-2.y-1";"Fall/wind";"Passive"
"87";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";185.7;"gC.m-2.y-1";"Fall/wind";"Passive"
"88";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";240.7;"gC.m-2.y-1";"Fall/wind";"Passive"
"89";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";180.2;"gC.m-2.y-1";"Fall/wind";"Passive"
"90";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";264.8;"gC.m-2.y-1";"Fall/wind";"Passive"
"91";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";201.6;"gC.m-2.y-1";"Fall/wind";"Passive"
"92";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";105.2;"gC.m-2.y-1";"Fall/wind";"Passive"
"93";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";22.8;"gC.m-2.y-1";"Fall/wind";"Passive"
"94";"";13;"Effects of resource limitation on a detrital-based ecosystem";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";883.842105;"gAFDW.m-2.y-1";"Fall/wind";"Passive"
"95";"";13;"Effects of resource limitation on a detrital-based ecosystem";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";681.285714;"gAFDW.m-2.y-1";"Fall/wind";"Passive"
"96";"";13;"Effects of resource limitation on a detrital-based ecosystem";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";441.921053;"gC.m-2.y-1";"Fall/wind";"Passive"
