"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow"
"72";"10.1034/j.1600-0706.2003.12477.x";43;"Dynamics of aquatic insect flux affects distribution of riparian web-building spiders";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.175321
"73";"10.1016/j.limno.2014.10.001";44;"Aquatic prey subsidies to riparian spiders in a stream with different land use types";"Temperate";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.001378
"74";"10.1016/j.limno.2014.10.001";44;"Aquatic prey subsidies to riparian spiders in a stream with different land use types";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.000462
"75";"10.1016/j.limno.2014.10.001";44;"Aquatic prey subsidies to riparian spiders in a stream with different land use types";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.000561
"76";"10.1111/fwb.12476";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.567184
"77";"10.1111/fwb.12477";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.98848
"78";"10.1111/fwb.12476";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.293601
"79";"10.1111/fwb.12477";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.985938
"80";"10.1111/fwb.12476";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Grassland";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.893672
"81";"10.1111/fwb.12477";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.653094
"82";"10.1111/fwb.12476";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.63407
"83";"10.1111/fwb.12477";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.480438
"84";"10.1111/fwb.12476";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.857766
"85";"10.1111/fwb.12477";45;"Land-use effects on terrestrial consumers through changed size structure of aquatic insects";"Boreal";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.538427
"86";"10.1111/j.1365-2427.1982.tb00624.x";49;"The input of terrestrial invertebrates from tree canopies to a stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.992
"87";"10.1111/j.1365-2427.1982.tb00624.x";49;"The input of terrestrial invertebrates from tree canopies to a stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.115
"88";"10.1111/j.1365-2427.1982.tb00624.x";49;"The input of terrestrial invertebrates from tree canopies to a stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.039
"89";"10.1111/j.1365-2427.1982.tb00624.x";49;"The input of terrestrial invertebrates from tree canopies to a stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.776
"90";"10.1111/j.1365-2427.1982.tb00624.x";49;"The input of terrestrial invertebrates from tree canopies to a stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";3.58
"91";"10.1111/j.1442-9993.1993.tb00465.x";53;"Litter inputs to a tropical Australian rainforest stream";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";6.0984
"92";"10.1007/s11284-011-0920-6";56;"Reciprocal fluxes of stream and riparian invertebrates in a coastal California basin with Mediterranean climate";"Arid";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.200131
"93";"10.1007/s11284-011-0920-6";56;"Reciprocal fluxes of stream and riparian invertebrates in a coastal California basin with Mediterranean climate";"Arid";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.136838
"94";"10.1007/s11284-011-0920-6";56;"Reciprocal fluxes of stream and riparian invertebrates in a coastal California basin with Mediterranean climate";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.794
"95";"10.1007/s11284-011-0920-6";56;"Reciprocal fluxes of stream and riparian invertebrates in a coastal California basin with Mediterranean climate";"Arid";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.855
"96";"10.1899/07-134.1";57;"Modeling C and N flows through a stream food web: an inverse approach";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";81.03
"97";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";8.4
"98";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";3.01
"99";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";10.4
"100";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";10.36
"101";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";14.94
"102";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";16.32
"103";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";7.68
"104";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";10.36
"105";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";3.92
"106";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";1.44
"107";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";9.38
"108";"10.1111/j.1365-2427.2006.01620.x";61;"Bacterial production in the carbon flow of a central European stream, the Breitenbach";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.018052
"109";"10.1111/fwb.12474";64;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Tropical";"Grassland";"Stream";"Terr. to fresh.";"Mammal faeces";"Vertebrates";71
"110";"10.1111/fwb.12474";64;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Tropical";"Grassland";"Stream";"Terr. to fresh.";"Mammal faeces";"Vertebrates";208
"111";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.609005
"112";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.609005
"113";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Boreal";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.966712
"114";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Boreal";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.144853
"115";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.359562
"116";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.359562
"117";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.348594
"118";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.227045
"119";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";78.63535
"120";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";79.300778
"121";"10.1890/08-1546.1";67;"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";79.300778
